"ticker","skew","kurt","avg","sdev","sharpe","cor_wti","cor_es1","cor_yld10y","cor_effr","beta_wti","beta_es1","beta_yld10y","beta_effr"
"BAC",2.26980300717893e-06,4.09557840350113e-07,-0.00147855682452475,0.0158525149308581,-0.0932695430960691,0.15253125501365,0.660514122418326,0.5654405057338,0.0179906265595972,0.416130499290181,32.3227160180735,0.0676582382191291,0.00197142038897615
"BAX",1.03455550439591e-06,1.06674182894602e-07,-0.000856056513535603,0.0112300357862179,-0.0762291883865767,0.104389185542507,0.581360756716493,0.0933192427220399,-0.0627857366707119,0.159707893875137,15.9540746871013,0.00623015009655226,-0.00385828334914358
"BBT",1.42525995666924e-06,1.71826980044143e-07,-0.000888733770899825,0.0125259065305569,-0.0709516527791231,0.195921383724744,0.653726195517088,0.525706182599519,-0.0435534263660268,0.340386741445489,20.3723776809206,0.040134804122651,-0.00303931262356142
"BBY",-1.32582894530175e-05,4.92790242170824e-06,-0.00132731090998726,0.0221712580455763,-0.0598662875718993,0.01066632889762,0.318664968437567,0.10365311537938,-0.00527996625580033,0.00878444040127497,4.70748004496251,0.00377496684171397,-0.000174659626736939
"BDX",4.8285571595542e-07,1.42259567232101e-07,-0.000640459143643594,0.0112525063331736,-0.0569170213888662,0.0606998629005364,0.549921108523658,0.0293796046147421,-0.087960641939339,0.0259769741189907,4.22139777354938,0.00054645904682083,-0.00151199896136529
"BIDU",1.11318778863726e-06,6.26109163132595e-07,-0.00023371994399122,0.0176200263066942,-0.0132644492081391,0.141014455428138,0.451919281725182,0.0787369843862859,-0.0621025598463671,0.0362829932893386,2.08512061490347,0.000886080988986424,-0.000641754221294468
"BIIB",4.30479292335096e-06,1.48462881067256e-06,0.000134567174538836,0.0185070650260288,0.00727112453268941,0.0178958539792442,0.379126303819361,0.138436363148852,-0.00798470581007692,0.00310926486708293,1.18152861463113,0.0010586414763523,-5.57219700866387e-05
"BK",2.49500070027008e-06,2.88706797671554e-07,-0.000613629665712243,0.0130124307828041,-0.0471571896100422,0.183073325111405,0.663557686249013,0.454427583123919,-0.0301152065810841,0.288053508092951,18.7275867830817,0.0314209379380581,-0.0019032515707522
"BKNG",-3.45497217870407e-07,7.35162062088122e-08,0.0027350623787423,0.0141490579615953,0.193303496682681,0.026107862322151,0.748716967141726,0.362871426660923,-0.349934918459938,0.000998209659622619,0.996634636980125,0.000425877333140559,-0.000885062288805345
"BLK",1.14468253137612e-06,1.58096979884219e-07,-0.000880206563366098,0.0123235513489389,-0.0714247491200568,0.194774231045476,0.767768539644174,0.349487545173755,-0.0483980572755202,0.0342141212569382,2.41913017737274,0.00270647998305129,-0.000341479055912505
